Question,Planning,Management,Time Management,Pause,Reflection,Strengths,Collaboration/Teamwork,Learning,Decision Making,Leadership,CoachBot Feedback,Habits,Emotional Intelligence
"Are you feeling more reactive or proactive?
What would be the ideal balance? How do you get there?",X,,,,,,,,,,,,
"Besides money, what have you gained from work in the last month?",X,,,,,,,X,,,,,
How can you help others make better decisions?,,X,,,,,,,X,X,,,
How can you make your co-workers look good?,,X,,,,,X,,,,,,
How can you show appreciation to someone else today?,,X,,,,,X,,,X,,,
How could you leverage a strength in a unique way?,,,,,,X,,,,,,,
How do you feel today?,,,,,,,,,,,,,X
How do you want to end your day today?,X,,X,X,,,,,,,,,
How do you want to start your day tomorrow?,X,,X,X,,,,,,,,,
How have you been showing appreciation for your team?,,X,,,,,,,,,,,
How successful have you been with your new habit recently? What would make it 1% better?,X,,,,,,,,,,,X,
"If you could share one message with the rest of your organization, what would it be?",,,,,,,,,,X,,,
"If you only had 1 hour to work, and today had to be a successful day, what would you do?",X,,X,,,,,,,,,,
"If your workday were halved, which tasks would you eliminate from your schedule?",X,,X,,,,,,,,,,
"Looking over the last 24 hours, what could have made your time more productive?",,,X,,,,,,,,,,
"On your own personal scale of 1-10, with 10 being your ideal productivity, how productive was the last 24 hours?
What can you learn from that?",,,X,,,,,,,,,,
"Over the last week what was the most useful question you received from CoachBot?
What made it useful for you?",,,,,,,,X,,,X,,
Take a breath and listen to your inner monologue. How is it serving you right now?,,,,X,,,,,,,,,
Take a moment and feel your body. What is it telling you to pay attention to?,,,,X,,,,,,,,,
What advice would your future self give you today?,X,,,,,,,,,,,,
What are the most important things you spent your time on today and what can you learn from that?,X,,X,X,,,,,,,,,
What are you aware of now that you weren't aware of just a moment ago?,,,,X,,,,,,,,,
What are you grateful for?,,,,,,X,,,,,,,X
What are you passionate about doing today?,X,,X,,,,,,,,,,
What are you working on now that you are excited about?,X,,,,,,,,,,,,
What can you do to support your team today?,,X,,,,,,,,,,,
What can you do today that will contribute to your overall vision for your life?,X,,,,,,,,,,,,
What can you do today that will help you live out your values?,X,,,,,X,,,,,,,
What can you learn from someone else today?,,,,,,,,X,,,,,
What can you teach someone today?,,,,,,X,,X,,,,,
What circumstances in your life are feeding you emotionally? Draining? What can you do to shift the balance?,X,,,,,,,,,,,,X
What could make today a slightly better day?,X,,,,,,,,,,,,
What could make you more ready for the next 24 hours?,,,X,,,,,,,,,,
What could you do today that would get you one step closer to finding or fulfilling your life's purpose?,X,,,,X,,,,,,,,
What do you feel like doing today?,X,,,,,,,,,,,,
What do you want to be spending your time on right now?,X,,,X,,,,,,,,,
What do you want to learn next?,,,,,,,,X,,,,,
What do you want to pay attention to?,X,,,X,,,,,,,,,
What does your team need most from you?,,X,,,,,,,,,,,
What feedback did you hear in the last 24 hours that you want to remember?,,,,,X,X,,,,,,,
What feedback have you heard from your team recently that you’d like to remember?,,X,,,,,,,,,,,
"What has been the most useful question that I've asked you so far?
What made it useful for you?",,,,,,,,,,,X,,
"What has been the most useful question that you've been asked in the last week?
What stands out about it?",,,,,,,,,,,X,,
What has helped you be productive over the last 24-48 hours?,X,,X,X,,,,,,,,,
What has helped you reflect recently?,X,,X,X,,,,,,,,,
"What has made you the happiest in the last month?
How can you leverage that information to make you happier in the future?",,,,,X,,,,,,,,
What have you learned from the last 24 hours?,,,,,,,,X,,,,,
What information can you share with someone that could be helpful?,,X,,,,,X,,,X,,,
"What information do you need to do your job better?
How can you get it?",X,,,,X,,,,X,,,,
What intention do you want to have going into today?,X,,,,,,,,,,,,
What is a different way you could try and solve the biggest problem that you're working on?,,,,,X,,,,X,,,,
What is a strength you can leverage today?,X,,,,,X,,,,,,,
What is one area where you can be more proactive today?,X,,X,,X,,,,,,,,
What is one new opportunity that you can see today?,,,,,,,,,X,,,,
"What is one thing you would like to see improved at your organization?
What can you do about it?",,X,,,,,,,,X,,,
What is the biggest insight you've had in the last week and how can you leverage that?,,,,,X,,,,,,,,
What is the biggest problem you're working on and how can you move that forward?,X,,,,,,,,,,,,
What is the most important thing you could be spending your time on today that you hadn't already planned on?,X,,X,X,,,,,,,,,
What is the most interesting thing you have learned about yourself this month?,,,,,X,,,,,,,,
What is the unique value that you bring to your team?,,,,,,X,,,,,,,
What is the unique value that your teammates bring?,,,,,,,X,,,,,,
What is worth pursuing?,X,,,,,,,,,,,,
What is your team doing just because it's the way it's always been done?,,X,,,,,,,X,X,,,
What is your top goal for the next 6 months? How can you move that forward today?,X,,,,,,,,,,,,
What new habit do you want to practice today?,,,,,,,,,,,,X,
What parts of your life are not serving you well? How would you change just one thing?,X,,,,,,,,,,,,
What skill do you want to practice today?,,,,,,,,,,,,X,
What strength would you like to work on today?,,,,,,X,,,,,,,
What will you learn today?,,,,,,,,X,,,,,
What would an outsider do in your position?,,X,,,,,,,X,X,,,
What would help create more options for things you can do?,X,,,X,,,,,,,,,
What would help your team improve their abilities?,,X,,,,,,,,,,,
What would make today great?,X,,,,,,,,,,,,
What would you do differently if you knew no one would judge you?,,,,,,,,,,,,,X
What would your future self want you to do today?,X,,,,,,,,,,,,
"What's the most challenging obstacle you face?
What is something small that you can do that could help you overcome it?",,,,,X,,,,,,,,
Who brings out the best work in you?,,,,,,X,X,,,,,,
Who can you offer recognition to today?,,X,,,,,X,,,X,,,X
Who do you want to connect with today that you haven't connected with recently?,,,,,,,X,,,,,,
Who is important in your life that you haven't reached out to recently?,,,,,,,,,,,,X,
Who is someone on your team you want to develop and how will you do it today?,,X,,,,,,,,,,,
Who should you reach out to today that you weren’t previously planning to?,,X,,,,,X,,,,,,